timestamp,latency_ms
1770217134.7727385,-1309.0739250183105
1770217134.8634338,-1318.375825881958
1770217134.9528005,-1269.078254699707
1770217135.0524063,-1169.4724559783936
1770217135.1534338,-1068.4449672698975
1770217135.244062,-1314.6216869354248
1770217135.333889,-1243.4470653533936
1770217135.4337866,-1302.8907775878906
1770217135.5236897,-1309.9749088287354
1770217135.6135335,-1314.2986297607422
1770217135.713888,-1307.41286277771
1770217135.8034813,-1314.1777515411377
1770217135.8937097,-1304.0649890899658
1770217135.993483,-1304.3742179870605
1770217136.08396,-1233.8886260986328
1770217136.173957,-1264.4200325012207
1770217136.2636495,-1309.300184249878
1770217136.3635688,-1284.2707633972168
1770217136.454122,-1287.8749370574951
1770217136.5439494,-1315.234899520874
1770217136.6338549,-1245.34010887146
1770217136.7341325,-1285.8316898345947
1770217136.8236501,-1276.1976718902588
1770217136.9135966,-1304.6376705169678
1770217137.0141218,-1299.222707748413
1770217137.1036935,-1303.87282371521
1770217137.1939068,-1270.212173461914
1770217137.2937481,-1251.5239715576172
1770217137.383712,-1257.9174041748047
1770217137.4738717,-1305.809497833252
1770217137.5634987,-1311.8691444396973
1770217137.6641245,-1305.8626651763916
1770217137.7535882,-1235.384225845337
1770217137.8436298,-1277.1530151367188
1770217137.9438918,-1308.7568283081055
1770217138.0345247,-1274.6038436889648
1770217138.1240356,-1300.0762462615967
1770217138.213707,-1308.0863952636719
1770217138.3136742,-1301.8345832824707
1770217138.4039106,-1306.6229820251465
1770217138.4937456,-1297.0702648162842
1770217138.5936892,-1290.9717559814453
1770217138.6834488,-1300.9860515594482
1770217138.773656,-1304.27885055542
1770217138.8643146,-1232.3071956634521
1770217138.9639502,-1264.5363807678223
1770217139.0537426,-1268.7873840332031
1770217139.1440296,-1296.9110012054443
1770217139.2438715,-1296.0147857666016
1770217139.3336194,-1301.3684749603271
1770217139.423947,-1211.040735244751
1770217139.5136967,-1313.5201930999756
1770217139.6137154,-1292.0482158660889
1770217139.7043452,-1296.107292175293
1770217139.793547,-1303.7388324737549
1770217139.8938518,-1297.1916198730469
1770217139.9836178,-1301.1386394500732
1770217140.0740135,-1311.0523223876953
1770217140.1643476,-1300.6806373596191
1770217140.2636201,-1296.6320514678955
1770217140.3534825,-1305.5393695831299
1770217140.4444811,-1234.5118522644043
