timestamp,latency_ms
1770152360.090914,-790.0536060333252
1770152360.2108421,-727.2827625274658
1770152360.3048663,-752.9444694519043
1770152360.390705,-763.4425163269043
1770152360.490778,-795.7642078399658
1770152360.5809674,-782.7367782592773
1770152360.670702,-788.1495952606201
1770152360.771024,-765.5458450317383
1770152360.8607793,-789.3304824829102
1770152360.9509706,-794.9018478393555
1770152361.0408418,-781.4548015594482
1770152361.1407297,-779.428243637085
1770152361.231127,-787.4360084533691
1770152361.3207655,-792.1009063720703
1770152361.4210556,-767.5178050994873
1770152361.5109107,-734.5530986785889
1770152361.6009848,-782.0611000061035
1770152361.6910205,-711.188554763794
1770152361.7908962,-780.6930541992188
1770152361.8815498,-784.7681045532227
1770152361.9710298,-795.1653003692627
1770152362.091098,-772.1350193023682
1770152362.1792195,-684.0136051177979
1770152362.2559183,-778.3725261688232
1770152362.3408494,-769.6263790130615
1770152362.4412189,-768.2585716247559
1770152362.5307019,-772.9170322418213
1770152362.6207654,-762.9096508026123
1770152362.7208204,-777.3973941802979
1770152362.8112605,-781.8353176116943
1770152362.9012914,-766.524076461792
1770152363.031737,-729.7000885009766
1770152363.0909586,-788.989782333374
1770152363.180873,-795.1178550720215
1770152363.27126,-798.9377975463867
1770152363.372009,-792.2279834747314
1770152363.4611313,-703.1056880950928
1770152363.5510654,-750.6828308105469
1770152363.6411538,-792.56272315979
1770152363.7408943,-786.5667343139648
1770152363.8310277,-771.5847492218018
1770152363.921177,-737.6053333282471
1770152364.0208383,-753.2308101654053
1770152364.1109555,-758.5217952728271
1770152364.2014115,-782.6714515686035
1770152364.296245,-687.8378391265869
1770152364.391114,-793.0576801300049
1770152364.4809384,-780.7753086090088
1770152364.570789,-747.8005886077881
1770152364.6712205,-785.3832244873047
1770152364.7611294,-789.311408996582
1770152364.8512194,-795.9680557250977
1770152364.9408796,-782.7234268188477
1770152365.0408885,-742.7260875701904
1770152365.1307714,-730.525016784668
1770152365.2209616,-775.604248046875
1770152365.3216307,-789.8061275482178
1770152365.4108446,-775.7024765014648
1770152365.5012743,-741.5456771850586
1770152365.6012692,-741.9443130493164
1770152365.690948,-747.6413249969482
1770152365.7810578,-790.9035682678223
1770152365.8709333,-777.7550220489502
1770152365.971031,-792.0331954956055
1770152366.0609403,-782.6106548309326
1770152366.1512535,-773.7619876861572
1770152366.2507818,-751.8284320831299
1770152366.3411255,-796.3166236877441
1770152366.431087,-782.0608615875244
1770152366.5209572,-789.6294593811035
1770152366.6210132,-748.8584518432617
1770152366.7109368,-752.7086734771729
1770152366.8009777,-777.5185108184814
1770152366.9010766,-794.7173118591309
1770152366.9909654,-779.5999050140381
1770152367.0810394,-727.2143363952637
1770152367.1707206,-775.5889892578125
1770152367.2708027,-788.7058258056641
1770152367.3611765,-792.971134185791
1770152367.450999,-799.0810871124268
1770152367.5509377,-793.3666706085205
1770152367.640894,-782.1693420410156
1770152367.7309744,-752.3913383483887
1770152367.8208787,-777.5750160217285
1770152367.921088,-795.4404354095459
1770152368.0108662,-784.1956615447998
1770152368.1007354,-788.0086898803711
1770152368.2009623,-706.8507671356201
1770152368.29089,-790.8873558044434
1770152368.3809104,-781.8591594696045
1770152368.470744,-786.1433029174805
1770152368.5707808,-779.834508895874
1770152368.6609366,-784.0194702148438
1770152368.7510953,-731.4724922180176
1770152368.850698,-752.0074844360352
1770152368.941091,-775.6531238555908
1770152369.0307107,-784.26194190979
1770152369.1209066,-793.5490608215332
1770152369.2212958,-788.1317138671875
1770152369.311292,-779.9746990203857
1770152369.4010625,-765.1898860931396
1770152369.5008209,-777.9748439788818
1770152369.590764,-787.9483699798584
1770152369.6819522,-790.6029224395752
1770152369.771063,-780.4701328277588
1770152369.870882,-796.6179847717285
1770152369.9609945,-782.4087142944336
1770152370.051314,-790.4953956604004
1770152370.1510248,-787.4321937561035
1770152370.2410803,-716.0971164703369
1770152370.3312395,-775.8452892303467
1770152370.4208367,-742.8374290466309
1770152370.5208704,-776.1642932891846
1770152370.6109726,-781.3477516174316
1770152370.7011256,-771.6240882873535
1770152370.801634,-709.9144458770752
1770152370.8913245,-790.8811569213867
1770152370.981177,-794.7967052459717
1770152371.070928,-798.8264560699463
1770152371.1708572,-797.1179485321045
1770152371.2610333,-784.4152450561523
1770152371.3508637,-750.8790493011475
1770152371.4510696,-744.5540428161621
1770152371.5408983,-774.4121551513672
1770152371.6310203,-797.9187965393066
1770152371.7313297,-754.5425891876221
1770152371.8210099,-721.1658954620361
1770152371.9110398,-727.1759510040283
1770152372.0010877,-752.1069049835205
1770152372.1007285,-767.218828201294
1770152372.190745,-791.4764881134033
1770152372.281187,-796.4308261871338
1770152372.3806868,-754.1680335998535
1770152372.4706864,-740.6156063079834
1770152372.5610235,-784.0371131896973
1770152372.6508129,-750.4172325134277
1770152372.7509718,-762.4704837799072
1770152372.8408556,-793.7030792236328
1770152372.9308023,-797.196626663208
1770152373.0309207,-753.1156539916992
1770152373.1212249,-780.6661128997803
1770152373.2111442,-786.0236167907715
1770152373.3009844,-794.4002151489258
1770152373.401023,-790.5619144439697
1770152373.4910052,-737.9167079925537
1770152373.5807848,-741.767168045044
1770152373.6810079,-741.8563365936279
1770152373.7711568,-784.7959995269775
1770152373.8611534,-793.8687801361084
1770152373.9512382,-722.5027084350586
1770152374.0508852,-779.8395156860352
1770152374.1408312,-765.2952671051025
1770152374.2310977,-753.1177997589111
1770152374.3307164,-789.013147354126
1770152374.4277651,-770.8594799041748
1770152374.5111146,-788.0330085754395
1770152374.6011426,-738.3828163146973
1770152374.700948,-795.9816455841064
1770152374.791071,-783.1878662109375
1770152374.8813076,-792.0265197753906
1770152374.980949,-787.3551845550537
1770152375.0714114,-777.0724296569824
1770152375.1606412,-748.2414245605469
1770152375.251095,-798.9659309387207
1770152375.3508265,-793.5757637023926
1770152375.440974,-783.003568649292
1770152375.5309381,-713.1540775299072
1770152375.630934,-773.5743522644043
1770152375.7209926,-744.1942691802979
1770152375.8112907,-766.747236251831
1770152375.900927,-791.466474533081
1770152376.0010402,-791.9788360595703
1770152376.0908983,-782.3905944824219
1770152376.1807976,-752.5794506072998
1770152376.2809322,-792.7336692810059
1770152376.3709676,-760.0052356719971
1770152376.461118,-784.2810153961182
1770152376.550844,-750.7812976837158
1770152376.6511168,-786.7674827575684
1770152376.7408383,-736.4997863769531
1770152376.8309672,-759.5291137695312
1770152376.930947,-772.4137306213379
1770152377.0211532,-794.9521541595459
1770152377.1110415,-798.5446453094482
1770152377.2111492,-773.3428478240967
1770152377.3007812,-758.4831714630127
1770152377.3908315,-762.0956897735596
1770152377.4810636,-784.5830917358398
1770152377.5811312,-783.6828231811523
1770152377.6711657,-788.2275581359863
1770152377.7611902,-792.5200462341309
1770152377.8609118,-786.5641117095947
1770152377.9509983,-790.1260852813721
1770152378.0410616,-777.6989936828613
1770152378.1306882,-786.0777378082275
1770152378.231099,-798.0804443359375
1770152378.3212588,-782.8218936920166
1770152378.4108293,-712.146520614624
1770152378.5109675,-780.9991836547852
1770152378.6010153,-793.0178642272949
